Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
Maruti Wagon R Lxi Bsiii,Nyeri,2009,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,273800.0
Maruti Vitara Brezza Zdi Plus,Mombasa,2018,50075,Diesel,Manual,First,24.3,1248.0,88.5,5.0,1277240.0000000002
Mahindra Kuv 100 Mfalcon G80 K6 5Str Aw,Nairobi,2017,52000,Petrol,Manual,First,18.15,1198.0,82.0,5.0,717799.9999999999
Mercedes-Benz M-Class Ml 350 Cdi,Eldoret,2013,85000,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,4144000.0
Volkswagen Polo Diesel Trendline 1.2L,Mombasa,2013,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,740000.0
Maruti Alto Lxi,Nairobi,2008,90000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,185000.0
Tata Nano Lx Se,Mombasa,2014,19698,Petrol,Manual,First,25.4,624.0,37.5,4.0,226440.0
Mahindra Kuv 100 Mfalcon D75 K8 Dual Tone,Naivasha,2017,22033,Diesel,Manual,First,25.32,1198.0,77.0,6.0,825840.0
Hyundai I20 Magna Optional 1.2,Mombasa,2014,35487,Petrol,Manual,First,18.5,1197.0,82.9,5.0,701520.0
Hyundai Elantra 2.0 Sx Option At,Nakuru,2014,46374,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,1309800.0
Toyota Corolla Altis G At,Nairobi,2016,52001,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,1496280.0
Hyundai Elantra Crdi,Thika,2008,58005,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,629000.0
Toyota Innova Crysta 2.7 Gx Mt,Nakuru,2012,70704,Petrol,Manual,First,11.25,2694.0,163.7,7.0,1620600.0
Hyundai Xcent 1.1 Crdi S,Nyeri,2014,75000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,569800.0
Mahindra Thar Crde Ac,Nyeri,2012,75800,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,814000.0
Audi A4 2.0 Tdi 177 Bhp Premium Plus,Mombasa,2015,13648,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,3171640.0
Maruti Swift Ldi,Nairobi,2014,52000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,629000.0
Maruti Swift Ldi Bsiv,Kisumu,2014,53000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,488400.0
Maruti Swift Vdi,Nairobi,2013,65650,Diesel,Manual,First,28.4,1248.0,74.0,5.0,569800.0
Hyundai Grand I10 Sportz,Mombasa,2015,54000,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,532800.0
Volkswagen Vento 2013-2015 1.6 Comfortline,Kisumu,2015,39000,Petrol,Manual,First,15.04,1598.0,103.2,5.0,590520.0
Renault Kwid Rxt,Mombasa,2017,16542,Petrol,Manual,First,25.17,799.0,53.3,5.0,488400.0
Hyundai I10 Asta,Kisumu,2010,32000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,306359.99999999994
Nissan X-Trail Slx At,Kisumu,2010,121812,Diesel,Automatic,First,13.29,1995.0,147.6,5.0,1147000.0
Maruti Zen Estilo Vxi Bsiii,Kisumu,2010,39300,Petrol,Manual,First,18.2,998.0,67.1,5.0,333000.0
Toyota Innova Crysta 2.4 Gx Mt 8S,Nairobi,2017,22000,Diesel,Manual,First,13.68,2393.0,147.8,8.0,2442000.0
Ford Figo Diesel Titanium,Nakuru,2010,72000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,407000.0
Mercedes-Benz New C-Class C 200 Cgi Avantgarde,Nairobi,2015,58000,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,3951600.0
Mercedes-Benz New C-Class 200 Cdi Classic,Eldoret,2011,65000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,1480000.0
Tata Indica V2 Els,Mombasa,2016,178000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,370000.0
Audi A4 2.0 Tdi Multitronic,Nyeri,2012,65664,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,1998000.0
Honda City Zx Cvt,Nairobi,2007,63000,Petrol,Automatic,Second,16.4,1497.0,78.0,5.0,273800.0
Mercedes-Benz C-Class Progressive C 220D,Naivasha,2019,15369,Diesel,Automatic,First,0.0,1950.0,194.0,5.0,5279160.0
Maruti Ertiga Shvs Vdi,Eldoret,2016,63000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,1206200.0
Hyundai Creta 1.4 E Plus Diesel,Nairobi,2018,13000,Diesel,Manual,First,22.1,1396.0,88.7,5.0,1554000.0
Porsche Cayenne 2009-2014 Turbo,Nairobi,2008,73000,Petrol,Automatic,First,8.5,4806.0,500.0,5.0,2146000.0
Mahindra Xuv500 W8 4Wd,Nairobi,2015,55729,Diesel,Manual,First,15.1,2179.0,140.0,7.0,1428200.0
Hyundai I10 Sportz 1.2 At,Mombasa,2012,45178,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,515040.0
Nissan Terrano Xv D Pre,Mombasa,2015,56066,Diesel,Manual,First,19.64,1461.0,108.5,5.0,1024160.0
Honda Brio Vx At,Naivasha,2016,37300,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,956080.0
Audi A6 2.0 Tdi Design Edition,Nairobi,2014,56000,Diesel,Automatic,Second,18.53,1968.0,187.74,5.0,4366000.0
Ford Fiesta 1.4 Sxi Tdci,Nyeri,2008,111111,Diesel,Manual,First,17.8,1399.0,97.7,5.0,296000.0
Toyota Innova 2.0 G1,Mombasa,2006,230000,Petrol,Manual,Third,12.4,1998.0,132.0,8.0,666000.0
Toyota Innova 2.5 Vx 7 Str Bsiv,Kisumu,2012,104000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,1739000.0
Hyundai Santro Xing Xl,Kisumu,2005,87591,Petrol,Manual,First,0.0,1086.0,97.7,5.0,192400.0
Maruti Swift Vdi,Nyeri,2012,95100,Diesel,Manual,First,22.9,1248.0,74.0,5.0,555000.0
Tata Zest Revotron 1.2T Xe,Eldoret,2017,70000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,666000.0
Honda Amaze Sx I-Vtec,Mombasa,2016,54944,Petrol,Manual,First,18.0,1198.0,86.7,5.0,713360.0
Ford Figo Diesel Zxi,Kisumu,2012,70337,Diesel,Manual,First,20.0,1399.0,68.0,5.0,414400.0
Maruti Ritz Vdi,Nyeri,2013,99638,Diesel,Manual,First,23.2,1248.0,73.94,5.0,460280.0
Honda City I Vtec E,Nairobi,2009,52000,Petrol,Manual,First,17.8,1497.0,117.3,5.0,481000.0
Bmw 5 Series 2003-2012 525D,Nairobi,2011,75000,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,2057200.0
Hyundai I10 Sportz 1.2,Eldoret,2009,95980,Petrol,Manual,First,20.36,1197.0,78.9,5.0,333000.0
Hyundai Grand I10 Sportz,Nakuru,2016,16000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,851000.0
Hyundai Santro Xing Xo,Kisumu,2007,73745,Petrol,Manual,First,17.0,1086.0,97.7,5.0,310800.0
Honda Amaze Sx I-Vtec,Nairobi,2016,18949,Petrol,Manual,First,17.8,1198.0,86.7,5.0,740000.0
Toyota Fortuner 4X2 Manual,Nairobi,2014,107000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,2442000.0
Audi A6 2011-2015 35 Tdi Premium,Naivasha,2018,48367,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,5857840.0
Ford Ecosport 1.5 Dv5 Mt Titanium Optional,Nairobi,2013,57000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,814000.0
Mahindra Xuv500 W8 2Wd,Nairobi,2014,58000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,1198800.0
Honda Amaze Sx I-Dtec,Kisumu,2015,30000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,518000.0
Volkswagen Polo Diesel Highline 1.2L,Kisumu,2013,34212,Diesel,Manual,First,22.07,1199.0,73.9,5.0,412920.0
Hyundai Verna Transform Sx Vgt Crdi,Thika,2010,70002,Diesel,Manual,First,16.2,1493.0,110.0,5.0,510600.0
Maruti Wagon R Vxi Bs Iv,Nakuru,2016,62000,Petrol,Manual,First,18.9,998.0,67.1,5.0,658600.0
Volkswagen Polo Petrol Highline 1.6L,Nairobi,2010,62001,Petrol,Manual,First,15.26,1598.0,103.5,5.0,392200.0
Hyundai I20 1.4 Crdi Sportz,Eldoret,2011,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,562400.0
Hyundai I20 Asta 1.2,Nairobi,2014,30180,Petrol,Manual,First,18.5,1197.0,82.85,5.0,688200.0000000001
Datsun Go Plus T Petrol,Eldoret,2017,32851,Petrol,Manual,First,19.83,1198.0,67.0,7.0,584600.0
Audi A4 3.0 Tdi Quattro Premium,Kisumu,2010,30000,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,1450400.0000000002
Hyundai I20 2015-2017 Asta,Eldoret,2009,66000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,399600.0
Maruti Omni 5 Str Std,Naivasha,2010,93850,Petrol,Manual,First,14.0,796.0,35.0,5.0,356680.0
Toyota Etios Liva 1.2 G,Thika,2014,53000,Petrol,Manual,First,17.71,1197.0,78.9,5.0,577200.0
Jaguar Xf 3.0 Litre S Premium Luxury,Kisumu,2011,78000,Diesel,Automatic,Second,14.74,2993.0,270.9,5.0,3552000.0
Mahindra Xuv500 W8 2Wd,Nairobi,2012,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,851000.0
Hyundai Verna 1.6 Sx Crdi (O) At,Kisumu,2014,40000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,777000.0
Toyota Innova Crysta 2.8 Zx At,Nairobi,2017,30000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,2849000.0
Maruti Eeco 5 Seater Ac,Naivasha,2017,38053,Petrol,Manual,First,15.1,1196.0,73.0,5.0,578680.0
Tata Nano Twist Xt,Nakuru,2014,25500,Petrol,Manual,First,25.4,624.0,37.5,4.0,318200.0
Bmw 3 Series 320D Luxury Line,Nairobi,2015,56087,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,3071000.0
Honda Civic 2006-2010 1.8 V Mt,Nairobi,2010,71088,Petrol,Manual,First,13.5,1799.0,130.0,5.0,495800.0
Toyota Innova 2.5 Vx (Diesel) 7 Seater,Thika,2014,55000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,1644280.0
Volvo V40 Cross Country D3,Nakuru,2014,32700,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,2960000.0
Nissan Micra Xv Cvt,Naivasha,2016,39882,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,969400.0
Bmw 5 Series 2010-2013 525I,Nairobi,2009,128000,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,1036000.0
Maruti Vitara Brezza Vdi,Nairobi,2016,55000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,1110000.0
Hyundai Santro Xing Xl Erlx Euro Iii,Nairobi,2005,102000,Petrol,Manual,Second,17.0,1086.0,97.7,5.0,125800.0
Mercedes-Benz B Class B200 Cdi,Eldoret,2014,53753,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,2479000.0
Hyundai Verna Crdi 1.6 Sx Option,Kisumu,2018,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,1620600.0
Maruti Wagon R Lxi Bs Iv,Eldoret,2011,43874,Petrol,Manual,First,18.9,998.0,67.1,5.0,362600.00000000006
Tata Nano Xta,Naivasha,2017,32684,Petrol,Automatic,First,21.9,624.0,37.48,4.0,478040.0
Mahindra Scorpio Vlx,Kisumu,2014,42000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,1147000.0
Mercedes-Benz New C-Class 200 K At,Kisumu,2009,28352,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,1383800.0
Maruti Wagon R Lxi Cng,Eldoret,2013,89900,Cng,Manual,First,26.6,998.0,58.16,5.0,481000.0
Honda Cr-V 2.4 Mt,Nakuru,2007,47700,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,777000.0
Volkswagen Vento 1.5 Tdi Comfortline At,Eldoret,2015,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,1073000.0
Maruti Ciaz Vxi Plus,Mombasa,2017,44285,Petrol,Manual,First,20.73,1373.0,91.1,5.0,1105560.0
Mahindra Xuv500 At W10 Fwd,Nyeri,2016,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,1961000.0
Maruti Ritz Vxi Abs,Naivasha,2016,30232,Petrol,Manual,First,21.1,1197.0,85.8,5.0,859880.0
Maruti Alto K10 Vxi,Kisumu,2014,88500,Petrol,Manual,First,24.07,998.0,67.1,5.0,384800.0
Mercedes-Benz Slc 43 Amg,Kisumu,2017,13372,Petrol,Automatic,First,19.0,2996.0,362.07,2.0,7992000.0
Hyundai Verna Vtvt 1.6 At Sx Plus,Mombasa,2019,12645,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,1702000.0
Maruti Alto Lxi Bsiii,Mombasa,2010,94385,Petrol,Manual,Second,19.7,796.0,46.3,5.0,236800.0
Bmw 1 Series 118D Base,Naivasha,2015,31821,Diesel,Automatic,First,20.58,1995.0,143.0,5.0,2548560.0
Honda Jazz 1.2 V Cvt I Vtec,Nairobi,2015,12000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,888000.0
Honda Civic 2006-2010 1.8 V Mt,Nairobi,2012,88578,Petrol,Manual,First,13.5,1799.0,130.0,5.0,584600.0
Mercedes-Benz New C-Class C 220 Cdi Avantgarde,Mombasa,2014,44965,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,2656600.0
Honda Amaze Sx I-Dtec,Kisumu,2014,45044,Diesel,Manual,First,25.8,1498.0,98.6,5.0,547600.0
Maruti Swift Vvt Vxi,Mombasa,2016,34204,Petrol,Manual,First,22.0,1197.0,81.8,5.0,803640.0
Hyundai Santro Xing Xo Erlx Euro Ii,Mombasa,2008,80759,Petrol,Manual,Third,17.0,1086.0,97.7,5.0,247160.0
Toyota Fortuner 3.0 Diesel,Naivasha,2012,91235,Diesel,Manual,First,11.5,2982.0,171.0,7.0,1996520.0
Chevrolet Beat Lt Option,Eldoret,2014,38800,Petrol,Manual,First,18.6,1199.0,76.8,5.0,421800.0
Skoda Rapid 1.5 Tdi Elegance,Mombasa,2013,83000,Diesel,Manual,First,21.14,1498.0,103.52,5.0,703000.0
Maruti Ciaz 1.4 Alpha,Mombasa,2018,41283,Petrol,Manual,First,20.73,1373.0,91.1,5.0,1465200.0
Audi Rs5 Coupe,Nairobi,2013,23000,Petrol,Automatic,First,11.05,2894.0,444.0,4.0,5476000.0
Bmw 3 Series Luxury Line,Nairobi,2014,48000,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,3922000.0
Audi A4 2.0 Tdi 177 Bhp Premium Plus,Naivasha,2015,48214,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,3451360.0
Maruti Swift Vdi,Mombasa,2016,35000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,925000.0
Mercedes-Benz S Class 2005 2013 S 500,Kisumu,2010,35277,Petrol,Automatic,First,7.81,5461.0,362.9,5.0,4440000.0
Skoda Rapid 1.5 Tdi At Elegance Plus Black Package,Naivasha,2016,54620,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,1459280.0
Skoda Superb Elegance 2.0 Tdi Cr At,Eldoret,2012,136997,Diesel,Automatic,First,17.2,1968.0,138.1,5.0,1258000.0
Hyundai Eon Magna Plus,Mombasa,2019,14322,Petrol,Manual,First,21.1,814.0,55.2,5.0,626040.0000000001
Volkswagen Polo Diesel Trendline 1.2L,Nyeri,2012,65634,Diesel,Manual,First,22.07,1199.0,73.9,5.0,518000.0
Datsun Go Nxt,Kisumu,2016,6000,Petrol,Manual,First,20.63,1198.0,67.06,5.0,370000.0
Honda Brio S Mt,Kisumu,2013,33280,Petrol,Manual,First,19.4,1198.0,86.8,5.0,353720.0
Mercedes-Benz B Class B180,Nairobi,2013,29000,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,1665000.0
Honda City I Dtec V,Mombasa,2015,42831,Diesel,Manual,First,26.0,1498.0,98.6,5.0,1052280.0
Toyota Innova 2.5 G (Diesel) 7 Seater,Thika,2016,90000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,1613200.0
Maruti Swift Vxi Optional,Thika,2017,24005,Petrol,Manual,First,20.4,1197.0,81.8,5.0,917600.0
Mahindra Xuv500 W8 2Wd,Nairobi,2012,32792,Diesel,Manual,First,15.1,2179.0,140.0,7.0,1169200.0
Ford Ecosport 1.5 Dv5 Mt Ambiente,Mombasa,2014,147898,Diesel,Manual,First,22.7,1498.0,89.84,5.0,654160.0
Toyota Fortuner 4X2 Manual,Nairobi,2012,131765,Diesel,Manual,First,13.0,2982.0,168.5,7.0,1998000.0
Volkswagen Vento 1.5 Highline Plus At 16 Alloy,Mombasa,2013,65000,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,925000.0
Ford Figo Diesel Titanium,Nyeri,2010,66123,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,310800.0
Bmw X5 Xdrive 30D,Nairobi,2015,41000,Diesel,Automatic,First,15.3,2993.0,258.0,5.0,6660000.0
Mercedes-Benz New C-Class C 220 Cdi Style,Naivasha,2017,23550,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,4981679.999999999
Honda Brio V Mt,Nakuru,2012,45000,Petrol,Manual,Second,19.4,1198.0,86.8,5.0,540200.0
Hyundai I10 Magna 1.2,Nairobi,2013,60000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,407000.0
Mercedes-Benz Glc 220,Nakuru,2016,44414,Diesel,Automatic,First,17.9,2143.0,170.0,5.0,6290000.0
Hyundai Grand I10 1.2 Kappa Asta,Kisumu,2019,1000,Petrol,Manual,First,18.9,1197.0,81.86,5.0,962000.0
Audi A6 2011-2015 2.0 Tdi Premium Plus,Nairobi,2012,62500,Diesel,Automatic,Second,17.68,1968.0,174.33,5.0,2812000.0
Volkswagen Vento Petrol Highline At,Nairobi,2013,21000,Petrol,Automatic,Second,14.4,1598.0,103.6,5.0,658600.0
Mini Countryman Cooper D,Nyeri,2017,8525,Diesel,Automatic,Second,16.6,1998.0,112.0,5.0,3404000.0
Hyundai I20 Asta 1.4 Crdi,Nakuru,2014,29000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,1235800.0
Audi A6 2011-2015 2.0 Tdi Premium Plus,Nairobi,2014,40000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,3396600.0
Chevrolet Beat Diesel Lt,Nyeri,2012,88000,Diesel,Manual,First,25.44,936.0,57.6,5.0,222000.0
Skoda Superb Elegance 1.8 Tsi At,Mombasa,2012,53537,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,1019720.0
Ford Fiesta 1.4 Tdci Exi Limited Edition,Mombasa,2006,216000,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,214600.0
Bmw 5 Series 520D Luxury Line,Kisumu,2014,51000,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,4958000.0
Chevrolet Optra Magnum 1.6 Ls Bs3,Nyeri,2007,118500,Petrol,Manual,First,12.9,1598.0,102.5,5.0,185000.0
Volkswagen Polo Diesel Highline 1.2L,Kisumu,2012,63000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,621600.0
Renault Lodgy 110Ps Rxz 8 Seater,Nairobi,2015,25000,Diesel,Manual,First,19.98,1461.0,108.5,8.0,999000.0
Mercedes-Benz E-Class E250 Cdi Avantgrade,Nakuru,2014,37382,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,4736000.0
Maruti Baleno Alpha,Mombasa,2017,24773,Petrol,Manual,First,21.4,1197.0,83.1,5.0,1110000.0
Hyundai Verna 1.6 Sx,Nairobi,2012,62000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,680799.9999999999
Hyundai I10 Magna 1.1,Mombasa,2017,52340,Petrol,Manual,First,19.81,1086.0,68.05,5.0,597920.0
Mahindra Scorpio 1.99 S10 4Wd,Mombasa,2016,56739,Diesel,Manual,First,15.4,1997.0,120.0,7.0,1525880.0
Land Rover Range Rover 2.2L Dynamic,Naivasha,2018,36091,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,8252480.0
Ford Figo Diesel Zxi,Mombasa,2010,120000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,384800.0
Maruti Ertiga Zdi,Nairobi,2016,33000,Diesel,Manual,First,25.47,1248.0,88.5,7.0,1258000.0
Honda City 1.5 Gxi,Thika,2007,60006,Petrol,Manual,First,0.0,1493.0,97.7,5.0,436600.0
Honda Amaze S I-Dtech,Kisumu,2014,52000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,518000.0
Hyundai I10 Magna,Nyeri,2015,43571,Petrol,Manual,First,20.36,1197.0,78.9,5.0,525400.0
Honda Amaze S I-Dtech,Kisumu,2013,50000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,481000.0
Skoda Laura Ambiente,Kisumu,2008,113000,Diesel,Manual,First,17.5,1896.0,106.0,5.0,666000.0
Renault Duster 85Ps Diesel Rxl,Nairobi,2014,90000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,791800.0
Mahindra Nuvosport N6,Mombasa,2017,29000,Diesel,Manual,Second,17.45,1493.0,100.0,7.0,962000.0
Maruti Vitara Brezza Zdi Plus Dual Tone,Nairobi,2016,20000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,1332000.0
Hyundai I20 Asta Option 1.2,Mombasa,2016,61012,Petrol,Manual,First,18.6,1197.0,81.83,5.0,888000.0
Skoda Fabia 1.4 Mpi Ambiente,Nyeri,2009,87459,Petrol,Manual,First,14.7,1390.0,85.0,5.0,407000.0
Tata Indigo Ecs Glx,Eldoret,2010,70500,Petrol,Manual,First,15.64,1193.0,64.1,5.0,222000.0
Audi Q3 2012-2015 35 Tdi Quattro Premium Plus,Nairobi,2015,64103,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,2945199.9999999995
Skoda Octavia Elegance 1.8 Tsi At,Nairobi,2014,76000,Petrol,Automatic,First,14.7,1798.0,177.5,5.0,1480000.0
Toyota Etios Liva Gd Sp,Nairobi,2014,104000,Diesel,Manual,First,23.59,1364.0,67.06,5.0,444000.0
Maruti Swift 1.3 Vxi,Kisumu,2010,42001,Petrol,Manual,First,16.1,1493.0,97.7,5.0,312280.0
Mercedes-Benz B Class B180,Mombasa,2014,37245,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,1770080.0
Honda Amaze S Diesel,Kisumu,2013,45000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,481000.0
Hyundai Verna 1.6 Sx,Nyeri,2012,117837,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,703000.0
Renault Duster 85Ps Diesel Rxl Optional,Nairobi,2014,30000,Diesel,Manual,First,20.46,1461.0,83.8,5.0,880600.0
Hyundai Creta 1.6 Vtvt S,Nairobi,2015,27057,Petrol,Manual,Second,15.29,1591.0,121.3,5.0,1206200.0
