Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Brand,Model,Car_Age,Luxury_Brand,Kilometers_Per_Year,Power_Per_CC
Kisumu,2010,121812,Diesel,Automatic,First,13.29,1995.0,147.6,5.0,1147000.0,Nissan,X-Trail Slx At,16,0,7613.25,0.07398496240601503
Kisumu,2010,39300,Petrol,Manual,First,18.2,998.0,67.1,5.0,333000.0,Maruti,Zen Estilo Vxi Bsiii,16,0,2456.25,0.06723446893787574
Nairobi,2017,22000,Diesel,Manual,First,13.68,2393.0,147.8,8.0,2442000.0,Toyota,Innova Crysta 2.4 Gx Mt 8S,9,0,2444.4444444444443,0.06176347680735479
Nakuru,2010,72000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,407000.0,Ford,Figo Diesel Titanium,16,0,4500.0,0.04860614724803431
Nairobi,2015,58000,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,3951600.0,Mercedes-Benz,New C-Class C 200 Cgi Avantgarde,11,1,5272.727272727273,0.10356347438752785
Eldoret,2011,65000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,1480000.0,Mercedes-Benz,New C-Class 200 Cdi Classic,15,1,4333.333333333333,0.07914338919925512
Mombasa,2016,178000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,370000.0,Tata,Indica V2 Els,10,0,17800.0,0.0494269340974212
Nyeri,2012,65664,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,1998000.0,Audi,A4 2.0 Tdi Multitronic,14,1,4690.285714285715,0.07113821138211382
Nairobi,2007,63000,Petrol,Automatic,Second,16.4,1497.0,78.0,5.0,273800.0,Honda,City Zx Cvt,19,0,3315.7894736842104,0.052104208416833664
Naivasha,2019,15369,Diesel,Automatic,First,0.0,1950.0,194.0,5.0,5279160.0,Mercedes-Benz,C-Class Progressive C 220D,7,1,2195.5714285714284,0.09948717948717949
Eldoret,2016,63000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,1206200.0,Maruti,Ertiga Shvs Vdi,10,0,6300.0,0.07091346153846154
Nairobi,2018,13000,Diesel,Manual,First,22.1,1396.0,88.7,5.0,1554000.0,Hyundai,Creta 1.4 E Plus Diesel,8,0,1625.0,0.06353868194842408
Nairobi,2008,73000,Petrol,Automatic,First,8.5,4806.0,500.0,5.0,2146000.0,Porsche,Cayenne 2009-2014 Turbo,18,1,4055.5555555555557,0.10403662089055347
Nairobi,2015,55729,Diesel,Manual,First,15.1,2179.0,140.0,7.0,1428200.0,Mahindra,Xuv500 W8 4Wd,11,0,5066.272727272727,0.06424965580541533
Mombasa,2012,45178,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,515040.0,Hyundai,I10 Sportz 1.2 At,14,0,3227.0,0.06591478696741855
Mombasa,2015,56066,Diesel,Manual,First,19.64,1461.0,108.5,5.0,1024160.0,Nissan,Terrano Xv D Pre,11,0,5096.909090909091,0.07426420260095824
Naivasha,2016,37300,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,956080.0,Honda,Brio Vx At,10,0,3730.0,0.07245409015025041
Nairobi,2014,56000,Diesel,Automatic,Second,18.53,1968.0,187.74,5.0,4366000.0,Audi,A6 2.0 Tdi Design Edition,12,1,4666.666666666667,0.09539634146341464
Nyeri,2008,111111,Diesel,Manual,First,17.8,1399.0,97.7,5.0,296000.0,Ford,Fiesta 1.4 Sxi Tdci,18,0,6172.833333333333,0.06983559685489636
Mombasa,2006,230000,Petrol,Manual,Third,12.4,1998.0,132.0,8.0,666000.0,Toyota,Innova 2.0 G1,20,0,11500.0,0.06606606606606606
Kisumu,2012,104000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,1739000.0,Toyota,Innova 2.5 Vx 7 Str Bsiv,14,0,7428.571428571428,0.0408981555733761
Kisumu,2005,87591,Petrol,Manual,First,0.0,1086.0,97.7,5.0,192400.0,Hyundai,Santro Xing Xl,21,0,4171.0,0.08996316758747698
Nyeri,2012,95100,Diesel,Manual,First,22.9,1248.0,74.0,5.0,555000.0,Maruti,Swift Vdi,14,0,6792.857142857143,0.05929487179487179
Eldoret,2017,70000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,666000.0,Tata,Zest Revotron 1.2T Xe,9,0,7777.777777777777,0.07435037720033529
Mombasa,2016,54944,Petrol,Manual,First,18.0,1198.0,86.7,5.0,713360.0,Honda,Amaze Sx I-Vtec,10,0,5494.4,0.07237061769616027
Kisumu,2012,70337,Diesel,Manual,First,20.0,1399.0,68.0,5.0,414400.0,Ford,Figo Diesel Zxi,14,0,5024.071428571428,0.04860614724803431
Nyeri,2013,99638,Diesel,Manual,First,23.2,1248.0,73.94,5.0,460280.0,Maruti,Ritz Vdi,13,0,7664.461538461538,0.05924679487179487
Nairobi,2009,52000,Petrol,Manual,First,17.8,1497.0,117.3,5.0,481000.0,Honda,City I Vtec E,17,0,3058.823529411765,0.0783567134268537
Nairobi,2011,75000,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,2057200.0,Bmw,5 Series 2003-2012 525D,15,0,5000.0,0.10927318295739348
Eldoret,2009,95980,Petrol,Manual,First,20.36,1197.0,78.9,5.0,333000.0,Hyundai,I10 Sportz 1.2,17,0,5645.882352941177,0.06591478696741855
Nakuru,2016,16000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,851000.0,Hyundai,Grand I10 Sportz,10,0,1600.0,0.06850459482038429
Kisumu,2007,73745,Petrol,Manual,First,17.0,1086.0,97.7,5.0,310800.0,Hyundai,Santro Xing Xo,19,0,3881.315789473684,0.08996316758747698
Nairobi,2016,18949,Petrol,Manual,First,17.8,1198.0,86.7,5.0,740000.0,Honda,Amaze Sx I-Vtec,10,0,1894.9,0.07237061769616027
Nairobi,2014,107000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,2442000.0,Toyota,Fortuner 4X2 Manual,12,0,8916.666666666666,0.05650570087189805
Naivasha,2018,48367,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,5857840.0,Audi,A6 2011-2015 35 Tdi Premium,8,1,6045.875,0.08858231707317074
Nairobi,2013,57000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,814000.0,Ford,Ecosport 1.5 Dv5 Mt Titanium Optional,13,0,4384.615384615385,0.05997329773030708
Nairobi,2014,58000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,1198800.0,Mahindra,Xuv500 W8 2Wd,12,0,4833.333333333333,0.06424965580541533
Kisumu,2015,30000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,518000.0,Honda,Amaze Sx I-Dtec,11,0,2727.2727272727275,0.06582109479305741
Kisumu,2013,34212,Diesel,Manual,First,22.07,1199.0,73.9,5.0,412920.0,Volkswagen,Polo Diesel Highline 1.2L,13,0,2631.6923076923076,0.06163469557964971
Thika,2010,70002,Diesel,Manual,First,16.2,1493.0,110.0,5.0,510600.0,Hyundai,Verna Transform Sx Vgt Crdi,16,0,4375.125,0.07367716008037509
Nakuru,2016,62000,Petrol,Manual,First,18.9,998.0,67.1,5.0,658600.0,Maruti,Wagon R Vxi Bs Iv,10,0,6200.0,0.06723446893787574
Nairobi,2010,62001,Petrol,Manual,First,15.26,1598.0,103.5,5.0,392200.0,Volkswagen,Polo Petrol Highline 1.6L,16,0,3875.0625,0.06476846057571965
Eldoret,2011,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,562400.0,Hyundai,I20 1.4 Crdi Sportz,15,0,5263.866666666667,0.06446991404011461
Nairobi,2014,30180,Petrol,Manual,First,18.5,1197.0,82.85,5.0,688200.0000000001,Hyundai,I20 Asta 1.2,12,0,2515.0,0.06921470342522974
Eldoret,2017,32851,Petrol,Manual,First,19.83,1198.0,67.0,7.0,584600.0,Datsun,Go Plus T Petrol,9,0,3650.1111111111113,0.055926544240400666
Kisumu,2010,30000,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,1450400.0000000002,Audi,A4 3.0 Tdi Quattro Premium,16,1,1875.0,0.08136164475901585
Eldoret,2009,66000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,399600.0,Hyundai,I20 2015-2017 Asta,17,0,3882.3529411764707,0.06683375104427736
Naivasha,2010,93850,Petrol,Manual,First,14.0,796.0,35.0,5.0,356680.0,Maruti,Omni 5 Str Std,16,0,5865.625,0.04396984924623116
Thika,2014,53000,Petrol,Manual,First,17.71,1197.0,78.9,5.0,577200.0,Toyota,Etios Liva 1.2 G,12,0,4416.666666666667,0.06591478696741855
Kisumu,2011,78000,Diesel,Automatic,Second,14.74,2993.0,270.9,5.0,3552000.0,Jaguar,Xf 3.0 Litre S Premium Luxury,15,1,5200.0,0.09051119278316071
Nairobi,2012,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,851000.0,Mahindra,Xuv500 W8 2Wd,14,0,4642.857142857143,0.06424965580541533
Kisumu,2014,40000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,777000.0,Hyundai,Verna 1.6 Sx Crdi (O) At,12,0,3333.3333333333335,0.07984829329962073
Nairobi,2017,30000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,2849000.0,Toyota,Innova Crysta 2.8 Zx At,9,0,3333.3333333333335,0.062250453720508164
Naivasha,2017,38053,Petrol,Manual,First,15.1,1196.0,73.0,5.0,578680.0,Maruti,Eeco 5 Seater Ac,9,0,4228.111111111111,0.061036789297658864
Nakuru,2014,25500,Petrol,Manual,First,25.4,624.0,37.5,4.0,318200.0,Tata,Nano Twist Xt,12,0,2125.0,0.06009615384615385
Nairobi,2015,56087,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,3071000.0,Bmw,3 Series 320D Luxury Line,11,0,5098.818181818182,0.09523809523809523
Nairobi,2010,71088,Petrol,Manual,First,13.5,1799.0,130.0,5.0,495800.0,Honda,Civic 2006-2010 1.8 V Mt,16,0,4443.0,0.07226236798221233
Thika,2014,55000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,1644280.0,Toyota,Innova 2.5 Vx (Diesel) 7 Seater,12,0,4583.333333333333,0.04033680834001604
Nakuru,2014,32700,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,2960000.0,Volvo,V40 Cross Country D3,12,1,2725.0,0.07560483870967742
Naivasha,2016,39882,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,969400.0,Nissan,Micra Xv Cvt,10,0,3988.2,0.0633889816360601
Nairobi,2009,128000,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,1036000.0,Bmw,5 Series 2010-2013 525I,17,0,7529.411764705882,0.08610332398878655
Nairobi,2016,55000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,1110000.0,Maruti,Vitara Brezza Vdi,10,0,5500.0,0.07091346153846154
Nairobi,2005,102000,Petrol,Manual,Second,17.0,1086.0,97.7,5.0,125800.0,Hyundai,Santro Xing Xl Erlx Euro Iii,21,0,4857.142857142857,0.08996316758747698
Eldoret,2014,53753,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,2479000.0,Mercedes-Benz,B Class B200 Cdi,12,1,4479.416666666667,0.050069995333644424
Kisumu,2018,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,1620600.0,Hyundai,Verna Crdi 1.6 Sx Option,8,0,1281.25,0.0797724399494311
Eldoret,2011,43874,Petrol,Manual,First,18.9,998.0,67.1,5.0,362600.00000000006,Maruti,Wagon R Lxi Bs Iv,15,0,2924.9333333333334,0.06723446893787574
Naivasha,2017,32684,Petrol,Automatic,First,21.9,624.0,37.48,4.0,478040.0,Tata,Nano Xta,9,0,3631.5555555555557,0.06006410256410256
Kisumu,2014,42000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,1147000.0,Mahindra,Scorpio Vlx,12,0,3500.0,0.05507113354749885
Kisumu,2009,28352,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,1383800.0,Mercedes-Benz,New C-Class 200 K At,17,1,1667.764705882353,0.09910913140311804
Eldoret,2013,89900,Cng,Manual,First,26.6,998.0,58.16,5.0,481000.0,Maruti,Wagon R Lxi Cng,13,0,6915.384615384615,0.05827655310621242
Nakuru,2007,47700,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,777000.0,Honda,Cr-V 2.4 Mt,19,0,2510.5263157894738,0.06457094307561598
Eldoret,2015,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,1073000.0,Volkswagen,Vento 1.5 Tdi Comfortline At,11,0,5000.0,0.06889185580774367
Mombasa,2017,44285,Petrol,Manual,First,20.73,1373.0,91.1,5.0,1105560.0,Maruti,Ciaz Vxi Plus,9,0,4920.555555555556,0.0663510560815732
Nyeri,2016,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,1961000.0,Mahindra,Xuv500 At W10 Fwd,10,0,5400.0,0.06424965580541533
Naivasha,2016,30232,Petrol,Manual,First,21.1,1197.0,85.8,5.0,859880.0,Maruti,Ritz Vxi Abs,10,0,3023.2,0.07167919799498747
Kisumu,2014,88500,Petrol,Manual,First,24.07,998.0,67.1,5.0,384800.0,Maruti,Alto K10 Vxi,12,0,7375.0,0.06723446893787574
Kisumu,2017,13372,Petrol,Automatic,First,19.0,2996.0,362.07,2.0,7992000.0,Mercedes-Benz,Slc 43 Amg,9,1,1485.7777777777778,0.12085113484646194
Mombasa,2019,12645,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,1702000.0,Hyundai,Verna Vtvt 1.6 At Sx Plus,7,0,1806.4285714285713,0.07624135763670647
Mombasa,2010,94385,Petrol,Manual,Second,19.7,796.0,46.3,5.0,236800.0,Maruti,Alto Lxi Bsiii,16,0,5899.0625,0.05816582914572864
Naivasha,2015,31821,Diesel,Automatic,First,20.58,1995.0,143.0,5.0,2548560.0,Bmw,1 Series 118D Base,11,0,2892.818181818182,0.07167919799498747
Nairobi,2015,12000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,888000.0,Honda,Jazz 1.2 V Cvt I Vtec,11,0,1090.909090909091,0.07397831526271893
Nairobi,2012,88578,Petrol,Manual,First,13.5,1799.0,130.0,5.0,584600.0,Honda,Civic 2006-2010 1.8 V Mt,14,0,6327.0,0.07226236798221233
Mombasa,2014,44965,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,2656600.0,Mercedes-Benz,New C-Class C 220 Cdi Avantgarde,12,1,3747.0833333333335,0.07932804479701354
Kisumu,2014,45044,Diesel,Manual,First,25.8,1498.0,98.6,5.0,547600.0,Honda,Amaze Sx I-Dtec,12,0,3753.6666666666665,0.06582109479305741
Mombasa,2016,34204,Petrol,Manual,First,22.0,1197.0,81.8,5.0,803640.0,Maruti,Swift Vvt Vxi,10,0,3420.4,0.0683375104427736
Mombasa,2008,80759,Petrol,Manual,Third,17.0,1086.0,97.7,5.0,247160.0,Hyundai,Santro Xing Xo Erlx Euro Ii,18,0,4486.611111111111,0.08996316758747698
Naivasha,2012,91235,Diesel,Manual,First,11.5,2982.0,171.0,7.0,1996520.0,Toyota,Fortuner 3.0 Diesel,14,0,6516.785714285715,0.05734406438631791
Eldoret,2014,38800,Petrol,Manual,First,18.6,1199.0,76.8,5.0,421800.0,Chevrolet,Beat Lt Option,12,0,3233.3333333333335,0.0640533778148457
Mombasa,2013,83000,Diesel,Manual,First,21.14,1498.0,103.52,5.0,703000.0,Skoda,Rapid 1.5 Tdi Elegance,13,0,6384.615384615385,0.06910547396528705
Mombasa,2018,41283,Petrol,Manual,First,20.73,1373.0,91.1,5.0,1465200.0,Maruti,Ciaz 1.4 Alpha,8,0,5160.375,0.0663510560815732
Nairobi,2013,23000,Petrol,Automatic,First,11.05,2894.0,444.0,4.0,5476000.0,Audi,Rs5 Coupe,13,1,1769.2307692307693,0.15342087076710437
Nairobi,2014,48000,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,3922000.0,Bmw,3 Series Luxury Line,12,0,4000.0,0.09523809523809523
Naivasha,2015,48214,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,3451360.0,Audi,A4 2.0 Tdi 177 Bhp Premium Plus,11,1,4383.090909090909,0.08858231707317074
Mombasa,2016,35000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,925000.0,Maruti,Swift Vdi,10,0,3500.0,0.05929487179487179
Kisumu,2010,35277,Petrol,Automatic,First,7.81,5461.0,362.9,5.0,4440000.0,Mercedes-Benz,S Class 2005 2013 S 500,16,1,2204.8125,0.06645303058047976
Naivasha,2016,54620,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,1459280.0,Skoda,Rapid 1.5 Tdi At Elegance Plus Black Package,10,0,5462.0,0.06910547396528705
Eldoret,2012,136997,Diesel,Automatic,First,17.2,1968.0,138.1,5.0,1258000.0,Skoda,Superb Elegance 2.0 Tdi Cr At,14,0,9785.5,0.07017276422764228
Mombasa,2019,14322,Petrol,Manual,First,21.1,814.0,55.2,5.0,626040.0000000001,Hyundai,Eon Magna Plus,7,0,2046.0,0.06781326781326781
Nyeri,2012,65634,Diesel,Manual,First,22.07,1199.0,73.9,5.0,518000.0,Volkswagen,Polo Diesel Trendline 1.2L,14,0,4688.142857142857,0.06163469557964971
Kisumu,2016,6000,Petrol,Manual,First,20.63,1198.0,67.06,5.0,370000.0,Datsun,Go Nxt,10,0,600.0,0.05597662771285476
Kisumu,2013,33280,Petrol,Manual,First,19.4,1198.0,86.8,5.0,353720.0,Honda,Brio S Mt,13,0,2560.0,0.07245409015025041
Nairobi,2013,29000,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,1665000.0,Mercedes-Benz,B Class B180,13,1,2230.769230769231,0.07567398119122257
Mombasa,2015,42831,Diesel,Manual,First,26.0,1498.0,98.6,5.0,1052280.0,Honda,City I Dtec V,11,0,3893.7272727272725,0.06582109479305741
